body_type,sex,diet,transport_mode,vehicle_type,vehicle_monthly_km,daily_screen_hours,daily_internet_hours,heating_source,energy_efficient,air_travel_frequency,monthly_grocery_bill,waste_bags_per_week,carbon_emission_kg,screen_category
normal,male,pescatarian,public,None,927,18,21,wood,Yes,rarely,94,5,1425,High Screen Time (>6h)
overweight,male,vegetarian,private,hybrid,2277,0,20,electricity,Sometimes,frequently,253,1,1690,Low Screen Time (≤6h)
obese,female,omnivore,walk/bicycle,None,97,13,0,natural gas,Sometimes,rarely,200,7,1717,High Screen Time (>6h)
normal,male,vegan,private,lpg,7272,4,5,coal,No,frequently,281,2,4060,Low Screen Time (≤6h)
obese,female,vegetarian,private,petrol,5260,14,17,electricity,No,rarely,82,3,3262,High Screen Time (>6h)
overweight,female,pescatarian,public,None,1750,9,12,coal,Yes,rarely,73,1,1674,High Screen Time (>6h)
obese,male,vegetarian,private,hybrid,2998,0,3,natural gas,Sometimes,frequently,246,4,3135,Low Screen Time (≤6h)
underweight,male,pescatarian,private,lpg,9147,1,20,natural gas,Yes,rarely,98,5,4465,Low Screen Time (≤6h)
overweight,male,pescatarian,public,None,1947,23,8,electricity,Sometimes,rarely,256,3,1984,High Screen Time (>6h)
overweight,female,vegetarian,private,lpg,4885,21,3,electricity,Yes,very frequently,287,1,3246,High Screen Time (>6h)
obese,female,omnivore,walk/bicycle,None,20,1,14,electricity,No,frequently,63,4,1351,Low Screen Time (≤6h)
obese,male,vegetarian,walk/bicycle,None,23,24,2,coal,No,never,158,1,1929,High Screen Time (>6h)
obese,male,omnivore,walk/bicycle,None,34,24,10,electricity,Yes,frequently,241,5,2719,High Screen Time (>6h)
obese,female,vegetarian,walk/bicycle,None,59,11,19,coal,Yes,frequently,176,1,2336,High Screen Time (>6h)
normal,female,vegetarian,public,None,682,0,3,wood,Sometimes,never,189,6,1270,Low Screen Time (≤6h)
obese,female,vegetarian,walk/bicycle,None,10,20,24,natural gas,Yes,never,214,6,1803,High Screen Time (>6h)
normal,female,vegan,walk/bicycle,None,10,7,17,electricity,Sometimes,very frequently,264,1,1816,High Screen Time (>6h)
normal,male,omnivore,private,petrol,7964,16,9,coal,No,never,213,1,4638,High Screen Time (>6h)
underweight,female,omnivore,private,hybrid,3606,16,22,coal,Sometimes,rarely,281,3,1909,High Screen Time (>6h)
normal,male,vegan,public,None,536,2,1,natural gas,Yes,frequently,280,2,2021,Low Screen Time (≤6h)
normal,male,omnivore,public,None,1564,4,23,natural gas,No,rarely,125,5,1896,Low Screen Time (≤6h)
obese,male,vegan,walk/bicycle,None,78,11,3,electricity,No,frequently,188,4,1770,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,98,12,3,wood,No,never,251,1,1323,High Screen Time (>6h)
normal,female,pescatarian,public,None,1820,21,9,wood,Yes,very frequently,285,1,2269,High Screen Time (>6h)
obese,male,vegan,public,None,243,20,5,wood,Yes,never,234,4,1918,High Screen Time (>6h)
overweight,female,vegan,public,None,1586,8,2,natural gas,Yes,very frequently,91,7,2477,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,11,6,16,natural gas,No,frequently,118,3,1444,Low Screen Time (≤6h)
obese,female,vegetarian,walk/bicycle,None,72,15,16,natural gas,Sometimes,never,75,5,1254,High Screen Time (>6h)
overweight,male,vegetarian,public,None,1157,19,10,electricity,No,never,134,5,1411,High Screen Time (>6h)
underweight,male,pescatarian,public,None,1380,7,8,wood,No,never,282,4,1605,High Screen Time (>6h)
obese,male,vegetarian,private,lpg,5765,7,18,electricity,No,never,110,5,3054,High Screen Time (>6h)
overweight,female,vegetarian,walk/bicycle,None,92,9,14,natural gas,Yes,very frequently,202,6,2902,High Screen Time (>6h)
overweight,male,pescatarian,private,lpg,7797,22,15,electricity,Yes,frequently,56,7,4301,High Screen Time (>6h)
normal,female,vegan,walk/bicycle,None,50,12,22,electricity,Yes,very frequently,223,3,2308,High Screen Time (>6h)
normal,female,vegetarian,private,petrol,7629,17,2,wood,No,frequently,202,1,4132,High Screen Time (>6h)
overweight,male,vegetarian,private,petrol,2367,1,23,wood,No,frequently,114,3,2993,Low Screen Time (≤6h)
overweight,female,omnivore,private,petrol,3960,7,1,wood,Yes,frequently,141,1,3098,High Screen Time (>6h)
overweight,female,vegan,walk/bicycle,None,42,19,10,coal,Yes,rarely,236,2,1364,High Screen Time (>6h)
normal,female,omnivore,private,lpg,6455,15,14,coal,Yes,rarely,95,1,2941,High Screen Time (>6h)
overweight,female,vegetarian,walk/bicycle,None,41,6,4,electricity,Sometimes,frequently,249,4,1349,Low Screen Time (≤6h)
overweight,female,pescatarian,walk/bicycle,None,71,24,16,natural gas,Yes,never,213,1,1038,High Screen Time (>6h)
obese,male,vegetarian,walk/bicycle,None,39,16,15,wood,No,never,81,7,1815,High Screen Time (>6h)
overweight,female,vegetarian,walk/bicycle,None,50,13,24,coal,No,very frequently,91,1,2566,High Screen Time (>6h)
overweight,female,vegan,private,electric,8707,2,23,wood,Sometimes,very frequently,291,3,2439,Low Screen Time (≤6h)
obese,female,pescatarian,private,lpg,167,9,20,electricity,Yes,very frequently,70,2,2056,High Screen Time (>6h)
overweight,female,pescatarian,public,None,631,2,18,natural gas,Sometimes,very frequently,89,7,2299,Low Screen Time (≤6h)
overweight,male,vegan,public,None,194,15,18,electricity,Sometimes,rarely,121,6,1492,High Screen Time (>6h)
underweight,female,omnivore,walk/bicycle,None,46,12,17,coal,No,rarely,198,1,1692,High Screen Time (>6h)
obese,male,vegetarian,walk/bicycle,None,37,15,3,wood,Yes,frequently,234,3,2581,High Screen Time (>6h)
overweight,male,vegetarian,walk/bicycle,None,31,0,1,wood,Sometimes,rarely,84,2,950,Low Screen Time (≤6h)
normal,male,vegan,private,lpg,2880,10,1,coal,Sometimes,never,182,5,1923,High Screen Time (>6h)
overweight,female,pescatarian,walk/bicycle,None,6,19,19,wood,Yes,never,275,2,1751,High Screen Time (>6h)
underweight,female,pescatarian,walk/bicycle,None,40,1,7,coal,Sometimes,very frequently,228,6,2562,Low Screen Time (≤6h)
overweight,male,vegan,walk/bicycle,None,1,9,24,wood,No,frequently,140,6,2456,High Screen Time (>6h)
overweight,female,vegetarian,public,None,1341,22,1,electricity,Sometimes,never,232,1,657,High Screen Time (>6h)
normal,female,pescatarian,public,None,393,21,9,electricity,No,very frequently,115,3,1758,High Screen Time (>6h)
obese,female,vegan,public,None,191,2,12,natural gas,Sometimes,frequently,157,4,2184,Low Screen Time (≤6h)
obese,female,pescatarian,public,None,131,14,23,coal,No,very frequently,156,1,3009,High Screen Time (>6h)
underweight,male,omnivore,private,diesel,1419,8,20,wood,Yes,very frequently,252,5,3748,High Screen Time (>6h)
normal,female,vegan,private,electric,9159,2,16,electricity,No,rarely,162,7,1122,Low Screen Time (≤6h)
obese,male,vegetarian,private,hybrid,8016,21,16,wood,No,never,145,3,2810,High Screen Time (>6h)
overweight,female,omnivore,walk/bicycle,None,87,24,23,electricity,No,never,214,3,1346,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,3,15,12,natural gas,Yes,rarely,126,5,671,High Screen Time (>6h)
underweight,female,omnivore,walk/bicycle,None,13,19,16,wood,Yes,frequently,91,1,1695,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,74,6,19,electricity,No,never,205,3,810,Low Screen Time (≤6h)
underweight,female,pescatarian,private,hybrid,7743,1,4,wood,Yes,frequently,285,3,2768,Low Screen Time (≤6h)
underweight,female,vegan,public,None,993,11,13,natural gas,Sometimes,never,178,7,1033,High Screen Time (>6h)
obese,female,omnivore,public,None,1997,6,6,coal,No,rarely,236,4,2046,Low Screen Time (≤6h)
obese,female,omnivore,private,electric,2721,23,22,coal,No,rarely,286,6,2171,High Screen Time (>6h)
normal,female,vegetarian,walk/bicycle,None,5,21,4,coal,Yes,rarely,108,7,1312,High Screen Time (>6h)
obese,male,vegan,public,None,941,24,18,wood,No,rarely,76,1,1209,High Screen Time (>6h)
underweight,male,vegan,private,diesel,8815,7,9,coal,Sometimes,frequently,270,2,4017,High Screen Time (>6h)
normal,female,pescatarian,private,electric,3276,13,10,wood,No,rarely,146,1,877,High Screen Time (>6h)
obese,male,vegan,private,hybrid,3309,8,20,electricity,Yes,never,221,5,1856,High Screen Time (>6h)
obese,male,pescatarian,private,hybrid,2623,20,12,wood,No,never,230,2,2197,High Screen Time (>6h)
obese,female,omnivore,private,diesel,7915,15,18,electricity,Sometimes,very frequently,295,1,4281,High Screen Time (>6h)
underweight,male,vegan,private,lpg,8897,17,24,electricity,Yes,frequently,177,3,3480,High Screen Time (>6h)
underweight,female,vegetarian,walk/bicycle,None,19,22,7,natural gas,Sometimes,never,189,1,953,High Screen Time (>6h)
underweight,male,omnivore,private,electric,3662,9,21,natural gas,Yes,frequently,174,2,2046,High Screen Time (>6h)
obese,male,vegan,private,petrol,611,12,5,coal,Sometimes,never,193,6,2521,High Screen Time (>6h)
overweight,male,omnivore,public,None,1431,1,3,wood,Yes,very frequently,238,6,3551,Low Screen Time (≤6h)
normal,male,pescatarian,public,None,1978,14,11,wood,Yes,never,101,3,1459,High Screen Time (>6h)
underweight,male,vegan,walk/bicycle,None,92,8,18,electricity,No,very frequently,99,2,2492,High Screen Time (>6h)
obese,male,omnivore,walk/bicycle,None,82,10,16,coal,No,frequently,50,1,2411,High Screen Time (>6h)
obese,female,pescatarian,public,None,1851,15,20,coal,Yes,very frequently,71,7,2761,High Screen Time (>6h)
underweight,female,vegetarian,public,None,1224,7,9,wood,Sometimes,rarely,232,3,1500,High Screen Time (>6h)
overweight,male,pescatarian,private,electric,8219,18,5,wood,Sometimes,never,247,5,1708,High Screen Time (>6h)
obese,female,omnivore,public,None,1390,19,7,coal,No,never,222,4,1717,High Screen Time (>6h)
overweight,male,vegan,public,None,434,23,14,wood,No,frequently,61,1,2135,High Screen Time (>6h)
underweight,male,vegan,private,hybrid,7460,5,20,wood,Sometimes,never,137,6,2042,Low Screen Time (≤6h)
normal,female,vegan,walk/bicycle,None,15,20,18,wood,Sometimes,rarely,157,1,1221,High Screen Time (>6h)
underweight,male,vegetarian,private,diesel,4686,0,2,natural gas,No,very frequently,174,2,3473,Low Screen Time (≤6h)
normal,female,vegetarian,walk/bicycle,None,88,12,21,electricity,Sometimes,never,214,5,1378,High Screen Time (>6h)
normal,female,pescatarian,walk/bicycle,None,40,21,2,electricity,Yes,very frequently,214,2,2135,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,56,11,20,wood,No,never,66,6,1464,High Screen Time (>6h)
overweight,female,vegan,walk/bicycle,None,14,22,22,coal,Yes,very frequently,123,6,2816,High Screen Time (>6h)
normal,male,vegan,public,None,108,17,11,wood,No,very frequently,105,1,2210,High Screen Time (>6h)
obese,female,omnivore,private,electric,5168,1,17,natural gas,No,never,125,3,1552,Low Screen Time (≤6h)
normal,male,vegan,private,petrol,672,24,18,coal,No,frequently,280,3,2406,High Screen Time (>6h)
obese,female,vegan,walk/bicycle,None,94,17,22,natural gas,Sometimes,very frequently,238,3,3004,High Screen Time (>6h)
obese,female,vegetarian,private,petrol,3114,14,10,wood,Sometimes,rarely,270,3,2540,High Screen Time (>6h)
normal,female,vegetarian,private,lpg,7134,5,5,natural gas,Yes,rarely,80,2,2424,Low Screen Time (≤6h)
overweight,female,vegan,private,diesel,8609,6,20,coal,Yes,rarely,276,6,4000,Low Screen Time (≤6h)
normal,female,omnivore,public,None,852,16,10,natural gas,No,never,210,1,1288,High Screen Time (>6h)
obese,male,vegetarian,public,None,1673,16,14,natural gas,Yes,rarely,270,6,2317,High Screen Time (>6h)
normal,female,vegetarian,public,None,1564,9,15,coal,Yes,very frequently,152,7,2730,High Screen Time (>6h)
normal,female,vegan,walk/bicycle,None,74,3,22,wood,Yes,rarely,247,7,1371,Low Screen Time (≤6h)
normal,female,omnivore,private,petrol,2885,3,21,natural gas,Sometimes,rarely,145,4,2349,Low Screen Time (≤6h)
normal,male,vegan,private,petrol,8130,7,0,natural gas,Sometimes,rarely,260,7,4536,High Screen Time (>6h)
overweight,female,vegetarian,public,None,228,2,17,wood,No,very frequently,283,3,2987,Low Screen Time (≤6h)
normal,female,vegetarian,public,None,1162,1,7,wood,Sometimes,never,277,4,1039,Low Screen Time (≤6h)
normal,male,pescatarian,public,None,71,10,12,wood,No,never,203,2,1036,High Screen Time (>6h)
obese,female,omnivore,private,diesel,6337,13,0,natural gas,Sometimes,frequently,213,4,3620,High Screen Time (>6h)
normal,male,vegan,public,None,1649,8,2,natural gas,Sometimes,rarely,135,4,1009,High Screen Time (>6h)
underweight,female,omnivore,private,diesel,6159,6,19,natural gas,Yes,very frequently,96,2,2895,Low Screen Time (≤6h)
overweight,male,omnivore,private,diesel,9884,21,21,electricity,Yes,never,162,1,4294,High Screen Time (>6h)
normal,male,vegan,private,hybrid,4060,13,7,wood,No,frequently,233,7,3429,High Screen Time (>6h)
underweight,female,omnivore,walk/bicycle,None,68,11,9,natural gas,Yes,rarely,262,7,1334,High Screen Time (>6h)
overweight,male,pescatarian,walk/bicycle,None,5,13,16,wood,No,very frequently,176,7,3697,High Screen Time (>6h)
normal,female,pescatarian,public,None,702,7,18,natural gas,Sometimes,rarely,176,4,1494,High Screen Time (>6h)
underweight,male,vegan,walk/bicycle,None,2,1,17,coal,No,very frequently,147,4,2779,Low Screen Time (≤6h)
overweight,female,omnivore,walk/bicycle,None,42,7,1,coal,No,rarely,83,1,993,High Screen Time (>6h)
normal,female,omnivore,public,None,274,20,0,coal,Sometimes,never,205,5,1944,High Screen Time (>6h)
normal,female,omnivore,public,None,590,1,1,coal,No,frequently,125,3,1474,Low Screen Time (≤6h)
overweight,male,vegetarian,private,diesel,84,1,22,natural gas,Yes,frequently,145,1,1880,Low Screen Time (≤6h)
normal,female,pescatarian,private,diesel,6908,15,17,coal,Yes,frequently,236,3,3535,High Screen Time (>6h)
underweight,female,omnivore,walk/bicycle,None,52,17,17,wood,Sometimes,rarely,101,7,1644,High Screen Time (>6h)
obese,female,vegetarian,private,lpg,121,2,3,natural gas,Sometimes,frequently,77,2,1268,Low Screen Time (≤6h)
obese,male,omnivore,walk/bicycle,None,30,19,19,natural gas,Sometimes,rarely,241,7,1529,High Screen Time (>6h)
obese,male,vegan,public,None,1336,10,20,electricity,Yes,rarely,124,4,2076,High Screen Time (>6h)
obese,male,omnivore,walk/bicycle,None,89,5,10,electricity,Sometimes,never,82,4,1850,Low Screen Time (≤6h)
normal,male,pescatarian,public,None,1412,10,19,natural gas,Sometimes,never,262,6,1000,High Screen Time (>6h)
obese,male,vegetarian,walk/bicycle,None,4,6,13,electricity,Sometimes,never,254,3,1485,Low Screen Time (≤6h)
overweight,female,pescatarian,public,None,1924,14,2,coal,No,rarely,76,1,1139,High Screen Time (>6h)
underweight,female,pescatarian,walk/bicycle,None,64,8,14,natural gas,No,never,207,2,682,High Screen Time (>6h)
overweight,male,vegan,private,electric,8659,8,11,natural gas,Yes,never,234,1,926,High Screen Time (>6h)
normal,female,pescatarian,walk/bicycle,None,82,17,23,coal,Yes,rarely,93,1,1037,High Screen Time (>6h)
normal,female,vegan,walk/bicycle,None,31,1,0,electricity,No,very frequently,76,4,1467,Low Screen Time (≤6h)
normal,male,omnivore,private,electric,5230,5,0,natural gas,Sometimes,rarely,67,3,914,Low Screen Time (≤6h)
underweight,female,omnivore,public,None,450,22,20,electricity,No,frequently,101,4,1741,High Screen Time (>6h)
underweight,male,vegetarian,public,None,441,19,13,coal,Yes,very frequently,73,2,2742,High Screen Time (>6h)
obese,female,vegetarian,private,lpg,6160,1,19,wood,No,rarely,280,2,2988,Low Screen Time (≤6h)
overweight,female,vegan,walk/bicycle,None,35,20,4,coal,Sometimes,frequently,85,4,2160,High Screen Time (>6h)
overweight,male,pescatarian,walk/bicycle,None,57,5,24,natural gas,Yes,frequently,256,6,3098,Low Screen Time (≤6h)
normal,male,vegetarian,walk/bicycle,None,7,10,7,wood,Sometimes,very frequently,193,3,2764,High Screen Time (>6h)
underweight,male,pescatarian,private,hybrid,5469,16,5,wood,No,frequently,145,4,2335,High Screen Time (>6h)
underweight,female,pescatarian,walk/bicycle,None,6,12,7,wood,Sometimes,frequently,282,3,1462,High Screen Time (>6h)
obese,male,omnivore,public,None,21,5,11,coal,Sometimes,frequently,133,3,2356,Low Screen Time (≤6h)
underweight,male,vegetarian,public,None,1127,19,16,coal,No,rarely,232,1,1731,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,7,22,18,coal,No,never,129,2,1162,High Screen Time (>6h)
normal,female,vegetarian,private,electric,6028,11,19,coal,No,frequently,140,3,1884,High Screen Time (>6h)
underweight,male,vegan,private,lpg,1669,1,15,wood,Sometimes,rarely,155,3,1505,Low Screen Time (≤6h)
obese,male,pescatarian,public,None,1972,11,4,wood,Yes,never,171,6,1252,High Screen Time (>6h)
normal,female,omnivore,public,None,684,9,10,electricity,No,never,274,6,1360,High Screen Time (>6h)
overweight,male,omnivore,walk/bicycle,None,13,15,20,coal,Sometimes,very frequently,264,4,3824,High Screen Time (>6h)
normal,male,vegan,private,lpg,8061,14,4,coal,Sometimes,very frequently,98,7,4580,High Screen Time (>6h)
normal,female,vegan,private,lpg,2544,24,24,coal,Sometimes,never,252,7,2833,High Screen Time (>6h)
underweight,male,vegetarian,walk/bicycle,None,46,17,14,electricity,Yes,rarely,256,1,1131,High Screen Time (>6h)
normal,male,pescatarian,public,None,62,24,9,electricity,No,very frequently,209,1,2382,High Screen Time (>6h)
normal,male,vegan,private,electric,4447,12,7,wood,Sometimes,frequently,269,4,2649,High Screen Time (>6h)
normal,male,pescatarian,private,diesel,4303,17,17,wood,Yes,rarely,113,7,2706,High Screen Time (>6h)
overweight,male,vegan,private,lpg,3176,24,0,electricity,Sometimes,very frequently,270,5,3045,High Screen Time (>6h)
underweight,male,pescatarian,private,diesel,7255,0,1,wood,Sometimes,rarely,72,2,3134,Low Screen Time (≤6h)
obese,male,vegan,walk/bicycle,None,62,2,11,wood,No,very frequently,101,7,3619,Low Screen Time (≤6h)
underweight,male,omnivore,private,petrol,6254,21,20,wood,Yes,very frequently,196,6,5013,High Screen Time (>6h)
overweight,female,vegan,walk/bicycle,None,93,17,24,coal,Yes,very frequently,277,3,2443,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,86,2,7,wood,Sometimes,never,91,3,488,Low Screen Time (≤6h)
overweight,male,pescatarian,public,None,357,4,23,wood,Sometimes,rarely,97,7,2409,Low Screen Time (≤6h)
overweight,male,vegan,private,petrol,8725,10,1,wood,Sometimes,very frequently,244,7,7159,High Screen Time (>6h)
overweight,male,vegetarian,public,None,1753,13,2,natural gas,Yes,very frequently,108,5,2670,High Screen Time (>6h)
overweight,female,omnivore,walk/bicycle,None,45,19,16,wood,No,very frequently,106,1,2321,High Screen Time (>6h)
underweight,male,vegan,public,None,292,14,11,coal,Sometimes,rarely,103,5,1574,High Screen Time (>6h)
overweight,female,vegetarian,public,None,1739,20,20,coal,Yes,very frequently,220,6,2471,High Screen Time (>6h)
obese,male,omnivore,walk/bicycle,None,2,14,23,electricity,No,frequently,287,6,2541,High Screen Time (>6h)
overweight,female,omnivore,walk/bicycle,None,38,0,19,wood,Yes,very frequently,123,3,2298,Low Screen Time (≤6h)
overweight,male,pescatarian,public,None,970,18,15,electricity,No,rarely,259,1,1445,High Screen Time (>6h)
overweight,male,vegan,private,lpg,8616,12,16,natural gas,Sometimes,never,172,7,4240,High Screen Time (>6h)
underweight,male,pescatarian,public,None,635,4,11,coal,Yes,very frequently,227,3,2650,Low Screen Time (≤6h)
normal,female,omnivore,private,electric,2914,3,23,coal,No,never,161,1,1033,Low Screen Time (≤6h)
underweight,male,pescatarian,walk/bicycle,None,92,21,15,electricity,No,rarely,146,3,990,High Screen Time (>6h)
normal,female,vegan,walk/bicycle,None,67,13,7,electricity,Yes,never,151,6,937,High Screen Time (>6h)
overweight,female,pescatarian,private,diesel,6972,3,23,electricity,No,frequently,244,5,3483,Low Screen Time (≤6h)
obese,female,pescatarian,private,petrol,9812,5,17,natural gas,No,very frequently,193,3,6515,Low Screen Time (≤6h)
normal,male,omnivore,public,None,1057,8,18,wood,No,very frequently,255,7,2929,High Screen Time (>6h)
normal,male,pescatarian,private,lpg,3295,11,11,wood,No,rarely,125,1,2377,High Screen Time (>6h)
underweight,female,omnivore,walk/bicycle,None,97,7,10,coal,No,frequently,52,1,1252,High Screen Time (>6h)
normal,female,omnivore,private,electric,9705,9,23,wood,No,rarely,252,6,1874,High Screen Time (>6h)
underweight,female,vegan,private,diesel,3105,8,2,natural gas,Sometimes,rarely,69,6,1579,High Screen Time (>6h)
overweight,male,omnivore,walk/bicycle,None,6,23,11,natural gas,Sometimes,never,139,1,974,High Screen Time (>6h)
overweight,male,vegetarian,walk/bicycle,None,34,15,8,electricity,Yes,very frequently,242,2,2607,High Screen Time (>6h)
underweight,male,pescatarian,public,None,1328,24,22,natural gas,No,frequently,224,2,2054,High Screen Time (>6h)
normal,male,omnivore,public,None,779,7,12,coal,Sometimes,never,242,7,1662,High Screen Time (>6h)
overweight,female,vegan,public,None,913,5,1,natural gas,Yes,rarely,193,4,1463,Low Screen Time (≤6h)
overweight,female,pescatarian,private,electric,5464,19,14,wood,No,rarely,79,1,1143,High Screen Time (>6h)
underweight,male,pescatarian,private,diesel,3912,7,20,wood,Sometimes,never,222,6,2790,High Screen Time (>6h)
overweight,female,omnivore,walk/bicycle,None,89,5,20,natural gas,Sometimes,rarely,271,7,2629,Low Screen Time (≤6h)
overweight,female,omnivore,private,hybrid,4359,15,5,wood,No,frequently,193,5,2338,High Screen Time (>6h)
overweight,female,pescatarian,private,diesel,7873,21,6,coal,No,rarely,156,7,3984,High Screen Time (>6h)
normal,male,pescatarian,public,None,374,20,3,natural gas,Sometimes,rarely,168,2,1253,High Screen Time (>6h)
